"Notes"	"State"	"State Code"	"Single Race 6"	"Single Race 6 Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Apr., 2019"	"2019/04"	"Male"	"M"	34	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"May, 2019"	"2019/05"	"Female"	"F"	29	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"May, 2019"	"2019/05"	"Male"	"M"	34	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jun., 2019"	"2019/06"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jun., 2019"	"2019/06"	"Male"	"M"	32	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jul., 2019"	"2019/07"	"Female"	"F"	18	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jul., 2019"	"2019/07"	"Male"	"M"	22	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Aug., 2019"	"2019/08"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Aug., 2019"	"2019/08"	"Male"	"M"	19	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Sep., 2019"	"2019/09"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Sep., 2019"	"2019/09"	"Male"	"M"	32	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Oct., 2019"	"2019/10"	"Female"	"F"	14	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Oct., 2019"	"2019/10"	"Male"	"M"	35	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Nov., 2019"	"2019/11"	"Female"	"F"	18	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Nov., 2019"	"2019/11"	"Male"	"M"	47	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Dec., 2019"	"2019/12"	"Female"	"F"	16	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Dec., 2019"	"2019/12"	"Male"	"M"	21	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jan., 2020"	"2020/01"	"Female"	"F"	15	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jan., 2020"	"2020/01"	"Male"	"M"	18	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Feb., 2020"	"2020/02"	"Female"	"F"	16	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Feb., 2020"	"2020/02"	"Male"	"M"	31	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Mar., 2020"	"2020/03"	"Female"	"F"	22	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Mar., 2020"	"2020/03"	"Male"	"M"	33	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Apr., 2020"	"2020/04"	"Female"	"F"	22	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Apr., 2020"	"2020/04"	"Male"	"M"	28	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"May, 2020"	"2020/05"	"Female"	"F"	18	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"May, 2020"	"2020/05"	"Male"	"M"	63	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jun., 2020"	"2020/06"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jun., 2020"	"2020/06"	"Male"	"M"	48	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jul., 2020"	"2020/07"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jul., 2020"	"2020/07"	"Male"	"M"	33	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Aug., 2020"	"2020/08"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Aug., 2020"	"2020/08"	"Male"	"M"	33	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Sep., 2020"	"2020/09"	"Female"	"F"	14	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Sep., 2020"	"2020/09"	"Male"	"M"	36	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Oct., 2020"	"2020/10"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Oct., 2020"	"2020/10"	"Male"	"M"	36	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Nov., 2020"	"2020/11"	"Male"	"M"	41	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Dec., 2020"	"2020/12"	"Female"	"F"	21	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Dec., 2020"	"2020/12"	"Male"	"M"	41	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jan., 2018"	"2018/01"	"Female"	"F"	60	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jan., 2018"	"2018/01"	"Male"	"M"	111	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Feb., 2018"	"2018/02"	"Female"	"F"	73	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Feb., 2018"	"2018/02"	"Male"	"M"	87	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Mar., 2018"	"2018/03"	"Female"	"F"	60	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Mar., 2018"	"2018/03"	"Male"	"M"	127	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Apr., 2018"	"2018/04"	"Female"	"F"	62	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Apr., 2018"	"2018/04"	"Male"	"M"	111	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"May, 2018"	"2018/05"	"Female"	"F"	63	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"May, 2018"	"2018/05"	"Male"	"M"	80	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jun., 2018"	"2018/06"	"Female"	"F"	70	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jun., 2018"	"2018/06"	"Male"	"M"	115	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jul., 2018"	"2018/07"	"Female"	"F"	90	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jul., 2018"	"2018/07"	"Male"	"M"	111	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Aug., 2018"	"2018/08"	"Female"	"F"	53	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Aug., 2018"	"2018/08"	"Male"	"M"	114	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Sep., 2018"	"2018/09"	"Female"	"F"	51	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Sep., 2018"	"2018/09"	"Male"	"M"	100	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Oct., 2018"	"2018/10"	"Female"	"F"	47	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Oct., 2018"	"2018/10"	"Male"	"M"	96	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Nov., 2018"	"2018/11"	"Female"	"F"	63	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Nov., 2018"	"2018/11"	"Male"	"M"	88	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Dec., 2018"	"2018/12"	"Female"	"F"	58	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Dec., 2018"	"2018/12"	"Male"	"M"	103	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jan., 2019"	"2019/01"	"Female"	"F"	48	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jan., 2019"	"2019/01"	"Male"	"M"	93	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Feb., 2019"	"2019/02"	"Female"	"F"	54	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Feb., 2019"	"2019/02"	"Male"	"M"	89	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Mar., 2019"	"2019/03"	"Female"	"F"	48	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Mar., 2019"	"2019/03"	"Male"	"M"	110	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Apr., 2019"	"2019/04"	"Female"	"F"	57	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Apr., 2019"	"2019/04"	"Male"	"M"	79	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"May, 2019"	"2019/05"	"Female"	"F"	66	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"May, 2019"	"2019/05"	"Male"	"M"	104	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jun., 2019"	"2019/06"	"Female"	"F"	50	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jun., 2019"	"2019/06"	"Male"	"M"	83	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jul., 2019"	"2019/07"	"Female"	"F"	55	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jul., 2019"	"2019/07"	"Male"	"M"	100	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Aug., 2019"	"2019/08"	"Female"	"F"	42	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Aug., 2019"	"2019/08"	"Male"	"M"	84	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Sep., 2019"	"2019/09"	"Female"	"F"	50	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Sep., 2019"	"2019/09"	"Male"	"M"	102	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Oct., 2019"	"2019/10"	"Female"	"F"	42	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Oct., 2019"	"2019/10"	"Male"	"M"	114	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Nov., 2019"	"2019/11"	"Female"	"F"	46	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Nov., 2019"	"2019/11"	"Male"	"M"	112	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Dec., 2019"	"2019/12"	"Female"	"F"	56	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Dec., 2019"	"2019/12"	"Male"	"M"	94	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jan., 2020"	"2020/01"	"Female"	"F"	46	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jan., 2020"	"2020/01"	"Male"	"M"	101	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Feb., 2020"	"2020/02"	"Female"	"F"	58	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Feb., 2020"	"2020/02"	"Male"	"M"	96	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Mar., 2020"	"2020/03"	"Female"	"F"	53	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Mar., 2020"	"2020/03"	"Male"	"M"	103	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Apr., 2020"	"2020/04"	"Female"	"F"	56	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Apr., 2020"	"2020/04"	"Male"	"M"	125	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"May, 2020"	"2020/05"	"Female"	"F"	78	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"May, 2020"	"2020/05"	"Male"	"M"	161	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jun., 2020"	"2020/06"	"Female"	"F"	68	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jun., 2020"	"2020/06"	"Male"	"M"	139	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jul., 2020"	"2020/07"	"Female"	"F"	55	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Jul., 2020"	"2020/07"	"Male"	"M"	135	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Aug., 2020"	"2020/08"	"Female"	"F"	59	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Aug., 2020"	"2020/08"	"Male"	"M"	98	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Sep., 2020"	"2020/09"	"Female"	"F"	45	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Sep., 2020"	"2020/09"	"Male"	"M"	103	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Oct., 2020"	"2020/10"	"Female"	"F"	55	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Oct., 2020"	"2020/10"	"Male"	"M"	114	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Nov., 2020"	"2020/11"	"Female"	"F"	56	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Nov., 2020"	"2020/11"	"Male"	"M"	90	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Dec., 2020"	"2020/12"	"Female"	"F"	50	Not Applicable	Not Applicable
	"Michigan"	"26"	"White"	"2106-3"	"Dec., 2020"	"2020/12"	"Male"	"M"	104	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Jan., 2018"	"2018/01"	"Male"	"M"	11	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"May, 2018"	"2018/05"	"Male"	"M"	11	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Aug., 2018"	"2018/08"	"Male"	"M"	14	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Nov., 2018"	"2018/11"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Feb., 2019"	"2019/02"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Mar., 2019"	"2019/03"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Apr., 2019"	"2019/04"	"Male"	"M"	13	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"May, 2019"	"2019/05"	"Male"	"M"	14	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Aug., 2019"	"2019/08"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Sep., 2019"	"2019/09"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Oct., 2019"	"2019/10"	"Male"	"M"	12	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Dec., 2019"	"2019/12"	"Male"	"M"	12	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Feb., 2020"	"2020/02"	"Male"	"M"	15	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Mar., 2020"	"2020/03"	"Male"	"M"	14	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"May, 2020"	"2020/05"	"Male"	"M"	19	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Jun., 2020"	"2020/06"	"Male"	"M"	24	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Jul., 2020"	"2020/07"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Sep., 2020"	"2020/09"	"Male"	"M"	14	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Oct., 2020"	"2020/10"	"Male"	"M"	16	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	"Dec., 2020"	"2020/12"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jan., 2018"	"2018/01"	"Female"	"F"	26	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jan., 2018"	"2018/01"	"Male"	"M"	42	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Feb., 2018"	"2018/02"	"Female"	"F"	35	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Feb., 2018"	"2018/02"	"Male"	"M"	48	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Mar., 2018"	"2018/03"	"Female"	"F"	33	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Mar., 2018"	"2018/03"	"Male"	"M"	51	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Apr., 2018"	"2018/04"	"Female"	"F"	19	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Apr., 2018"	"2018/04"	"Male"	"M"	35	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"May, 2018"	"2018/05"	"Female"	"F"	32	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"May, 2018"	"2018/05"	"Male"	"M"	56	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jun., 2018"	"2018/06"	"Female"	"F"	31	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jun., 2018"	"2018/06"	"Male"	"M"	46	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jul., 2018"	"2018/07"	"Female"	"F"	21	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jul., 2018"	"2018/07"	"Male"	"M"	47	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Aug., 2018"	"2018/08"	"Female"	"F"	33	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Aug., 2018"	"2018/08"	"Male"	"M"	39	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Sep., 2018"	"2018/09"	"Female"	"F"	27	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Sep., 2018"	"2018/09"	"Male"	"M"	41	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Oct., 2018"	"2018/10"	"Female"	"F"	27	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Oct., 2018"	"2018/10"	"Male"	"M"	53	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Nov., 2018"	"2018/11"	"Female"	"F"	19	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Nov., 2018"	"2018/11"	"Male"	"M"	47	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Dec., 2018"	"2018/12"	"Female"	"F"	35	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Dec., 2018"	"2018/12"	"Male"	"M"	57	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jan., 2019"	"2019/01"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jan., 2019"	"2019/01"	"Male"	"M"	47	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Feb., 2019"	"2019/02"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Feb., 2019"	"2019/02"	"Male"	"M"	33	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Mar., 2019"	"2019/03"	"Female"	"F"	34	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Mar., 2019"	"2019/03"	"Male"	"M"	53	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Apr., 2019"	"2019/04"	"Female"	"F"	29	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Apr., 2019"	"2019/04"	"Male"	"M"	57	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"May, 2019"	"2019/05"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"May, 2019"	"2019/05"	"Male"	"M"	64	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jun., 2019"	"2019/06"	"Female"	"F"	30	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jun., 2019"	"2019/06"	"Male"	"M"	44	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jul., 2019"	"2019/07"	"Female"	"F"	30	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Jul., 2019"	"2019/07"	"Male"	"M"	60	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Aug., 2019"	"2019/08"	"Female"	"F"	39	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Aug., 2019"	"2019/08"	"Male"	"M"	60	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Sep., 2019"	"2019/09"	"Female"	"F"	26	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Sep., 2019"	"2019/09"	"Male"	"M"	52	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Oct., 2019"	"2019/10"	"Female"	"F"	29	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Oct., 2019"	"2019/10"	"Male"	"M"	45	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Nov., 2019"	"2019/11"	"Female"	"F"	31	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"White"	"2106-3"	"Nov., 2019"	"2019/11"	"Male"	"M"	59	Not Applicable	Not Applicable
